A01584	A01585	Dep Phy	RWTH Aachen University, Department of Physics
A01584	A06419	GUTech	German University of Technology, Oman
	A01586	FU Berlin	Free University of Berlin, Germany
A01586	A01587	Dep Geos	Free University of Berlin, Department of Geosciences
A01586	A01588	Inst Metr	Free University of Berlin, Institute for Meteorology
A01586	A01589	Dep Phy	Free University of Berlin, Department of Physics
A01586	A11417	ICRA	International Center for Relativistic Astrophysics
	A01590	U Bielefeld	University of Bielefeld, Germany
	A01591	U Bremen	University of Bremen, Germany
A01591	A01592	Dep Phy	University of Bremen, Department of Physics
A01591	A01593	Dep Geos	University of Bremen, Department of Geosciences
A01591	A01594	Ctr Mar Env Sci	University of Bremen, Center for Marine Environmental Sciences
A01591	A01595	CAST mGrav	University of Bremen, Center for Applied Space Technology and Microgravity
	A01596	TU Dresden	Technical University of Dresden, Germany
A01596	A01597	Inst Phy	Technical University of Dresden, Institute for Physics
A01596	A01598	Inst Plan Geod	Technical University of Dresden, Institute for Planetary Geodesy
	A01599	U Dusseldorf	Heinrich Heine University of Dusseldorf, Germany
A01599	A13033	Inst Phy	University of Dusseldorf Institute of Physics
	A01600	U Erlangen-Nuremberg	Friedrich Alexander University of Erlangen-Nuremberg, Germany
A01600	A01601	Ast Inst	University of Erlangen-Nuremberg, Astronomical Institute
A01600	A01602	Dep Phy	University of Erlangen-Nuremberg, Department of Physics
A01600	A01603	GeoCtr	University of Erlangen-Nuremberg, GeoCenter
	A01604	U Frankfurt	Goethe University of Frankfurt, Germany
A01604	A01605	Dep Geos	University of Frankfurt, Department of Geosciences
A01604	A01606	Inst App Phy	University of Frankfurt, Institute for Applied Physics
A01604	A01607	Dep Phy	University of Frankfurt, Department of Physics
A01604	A01608	Inst Nuc Phy	University of Frankfurt, Institute for Nuclear Physics
A01604	A11475	Inst Theo Phy	University of Frankfurt, Institute for Theoretical Physics
A01604	A11476	Inst Adv Stud	University of Frankfurt, Institute for Advanced Studies
	A01609	U Freiburg	Albert Ludwigs University of Freiburg, Germany
A01609	A01610	FRIAS	University of Freiburg, Institute for Advanced Studies
A01609	A01611	Inst Geos	University of Freiburg, Institute for Geosciences
A01609	A01612	Inst Phy	University of Freiburg, Institute for Physics
	A01613	U Giessen	Justus Liebig University of Giessen, Germany
A01613	A13061	Inst Phy	University of Giessen, Institute for Physics
	A01614	U Halle	Martin Luther University of Halle, Germany
	A01615	U Kassel	University of Kassel, Germany
	A01616	U Kiel	Christian Albrechts University of Kiel, Germany
A01616	A01617	Inst Geos	University of Kiel, Institute for Geosciences
A01616	A01619	Inst Phy Chem	University of Kiel, Institute of Physical Chemistry
A01616	A03051	Inst Mar Res	Institute for Marine Research, Kiel
A01616	A11496	ITPA	University of Kiel, Institute for Theoretical Physics and Astrophysics
A01616	A11497	IEAP	University of Kiel, Institute for Experimental and Applied Physics
A01616	A11498	IFK	University of Kiel, Institute for Pure and Applied Nuclear Physics
	A01620	U Leipzig	University of Leipzig, Germany
A01620	A01621	Dep Phy Geos	University of Leipzig, Department of Physics and Geosciences
	A01622	U Mainz	Johannes Gutenberg University of Mainz, Germany
A01622	A01623	Fac Chem	University of Mainz, Faculty of Chemistry
A01622	A01624	Inst Geop	University of Mainz, Institute for Geophysics
A01622	A01625	Inst Nuc Phy	University of Mainz, Institute for Nuclear Physics
A01622	A01626	Inst Phy	University of Mainz, Institute for Physics
	A01627	U Munich	Ludwig-Maximilians University of Munich, Germany
A01627	A01628	Dep Phy	University of Munich, Department of Physics
A01627	A01629	Dep Geos	University of Munich, Department of Geosciences
A01627	A11474	Inst Ast Astrop	University of Munich, Institute of Astronomy and Astrophysics
	A01630	TU Munich	Munich University of Technology, Germany
A01630	A01631	Dep Phy	Munich University of Technology, Department of Physics
A01630	A11479	Inst Ast Phy Geod	Munich University of Technology, Institute for Astronomical and Physical Geodesy
A01630	A11482	DGFI	German Geodetics Research Institute
	A01632	U Munster	Wilhelms University of Munster, Germany
A01632	A01633	Inst Nuc Phy	University of Munster, Institute for Nuclear Physics
A01632	A01634	Inst Plan	University of Munster, Institute for Planetology
A01632	A01635	Inst Phy	University of Munster, Institute for Physics
A01632	A01636	Inst Geop	University of Munster, Institute for Geophysics
A01632	A11494	Inst Ast	University of Munster, Institute for Astronomy
	A01637	U Osnabruck	University of Osnabruck, Germany
	A01638	U Rostock	University of Rostock, Germany
A01638	A03046	Atm Phy	Leibniz Institute for Atmospheric Physics
A01638	A03047	Baltic Sea Res	Leibniz Institute for Baltic Sea Research
	A01641	U Tubingen	Eberhard Karls University of Tubingen, Germany
A01641	A01642	Inst App Phy	University of Tubingen, Institute for Applied Physics
A01641	A01643	Inst Ast Astrop	University of Tubingen, Institute for Astronomy and Astrophysics
A01641	A01644	Inst Phy	University of Tubingen, Institute of Physics
A01641	A01645	Dep Geop	University of Tubingen, Department of Geophysics
	A01646	U Ulm	University of Ulm, Germany
	A01647	U Wurzburg	Julius-Maximilians University of Wurzburg, Germany
A01647	A01648	Dep Phy Ast	University of Wurzburg, Department of Physics and Astronomy
	A01649	U Lubeck	University of Lubeck, Germany
	A01650	ISS	Istituto Superiore di Sanita, Italy
	A01651	TU Marche	Technical University of Marche, Ancona, Italy
	A01652	U Bari	University of Bari, Italy
A01652	A01654	Dep Geo Sci	University of Bari, Department of Earth and Geo-environmental Sciences
A01652	A01730	CNR Bari	Italian National Research Council, Bari
A01652	A02461	Dep Phy	Inter-University Department of Physics
	A01656	U Bologna	University of Bologna, Italy
A01656	A01658	Dep Chem	University of Bologna, Department of Chemistry
A01656	A01659	Dep Phy Ast	University of Bologna, Department of Physics and Astronomy
A01656	A03970	Ast Obs Bologna	Astronomical Observatory of Bologna
A01656	A03974	IRA Bologna	Institute of Radioastronomy, Bologna
	A01661	U Brescia	University of Brescia, Italy
	A01662	U Catania	University of Catania, Italy
A01662	A01663	Dep Chem	University of Catania, Department of Chemistry
A01662	A01664	Dep Phy Ast	University of Catania, Department of Physics and Astronomy
A01662	A03980	Ast Obs Catania	Astronomical Observatory of Catania
	A01666	U Ferrara	University of Ferrara, Italy
A01666	A01667	Dep Phy	University of Ferrara, Department of Physics
A01666	A11417	ICRA	International Center for Relativistic Astrophysics
	A01668	U Florence	University of Florence, Italy
A01668	A01670	Dep Phy	University of Florence, Department of Physics
A01668	A01671	Dep Chem	University of Florence, Department of Chemistry
A01668	A01672	LENS	University of Florence, European Laboratory for Non-Linear Spectroscopy
A01668	A01736	CNR Florence	Italian National Research Council, Florence
A01668	A03981	Ast Obs Arcetri	Astronomical Observatory of Arcetri
A01668	A06540	Dep Ear Sci	University of Florence, Department of Earth Sciences
A01668	A11386	Dep Ast Sp Sci	University of Florence, Department of Astronomy and Space Science
	A01674	D'Annunzio U	G. D'Annunzio University of Chieti-Pescara, Italy
A01674	A11398	IRSPS	International Research School of Planetary Sciences
A01674	A11417	ICRA	International Center for Relativistic Astrophysics
	A01675	U Genoa	University of Genoa, Italy
A01675	A01676	Dep Phy	University of Genoa, Department of Physics
	A01677	U Aquila	University of L'Aquila, Italy
A01677	A01678	Dep Phy	University of L'Aquila, Department of Physics
	A01679	U Milan	University of Milan, Italy
A01679	A01681	Dep Phy	University of Milan, Department of Physics
A01679	A01683	Dep Ear Sci	University of Milan, Department of Earth Sciences
A01679	A01727	CNR Milan	Italian National Research Council, Milan
A01679	A11383	IASF Milan	Institute for Cosmic Physics, Milan
	A01684	U Milan-Bicocca	University of Milan-Bicocca, Italy
A01684	A01685	Dep Phy	University of Milan-Bicocca, Department of Physics
	A01686	U Modena	University of Modena and Reggio Emilia, Italy
	A01687	U Naples	University of Naples Federico II, Italy
A01687	A01688	Dep Ear Sci	University of Naples Federico II, Department of Earth Sciences
A01687	A01689	Dep Phy	University of Naples Federico II, Department of Physics
A01687	A01691	Compl U Mt SAngelo	University of Naples Federico II, Complesso Universitario di Monte Sant'Angelo
A01687	A03979	Ast Obs Capodimonte	Astronomical Observatory of Capodimonte
	A01692	U Padua	University of Padua, Italy
A01692	A01694	Dep Geo	University of Padua, Department of Geosciences
A01692	A01696	Dep Phy Ast	University of Padua, Department of Physics and Astronomy
A01692	A01728	CNR Padua	Italian National Research Council, Padua
A01692	A03972	Ast Obs Padua	Astronomical Observatory of Padua
	A01697	U Perugia	University of Perugia, Italy
A01697	A01698	Dep Phy	University of Perugia, Department of Physics and Earth Sciences
A01697	A01699	Dep Chem	University of Perugia, Department of Chemistry
A01697	A11392	Ast Obs	University of Perugia, Astronomical Observatory
	A01700	U Pisa	University of Pisa, Italy
A01700	A01702	Dep Ear Sci	University of Pisa, Department of Earth Sciences
A01700	A01703	Dep Phy	University of Pisa, Department of Physics
A01700	A01732	ISTI Pisa	Institute of Science and Information Technology, Pisa
	A01704	Sapienza U	Sapienza University, Rome, Italy
A01704	A01705	Dep Ear Sci	Sapienza University, Department of Earth Sciences
A01704	A01707	Dep Chem	Sapienza University, Department of Chemistry
A01704	A01709	Dep Aero Sci	Sapienza University, Department of Aerospace Sciences
A01704	A02436	Dep Phy I	Sapienza University, Department of Physics
A01704	A03973	IASF Rome	Institute of Space Astrophysics and Cosmic Physics
A01704	A11375	Ast Inst	Sapienza University, Astronomy Institute
A01704	A11411	IGAG	Institute of Environmental Geology and Geoengineering, Rome
A01704	A11417	ICRA	International Center for Relativistic Astrophysics
	A01710	U Sassari	University of Sassari, Italy
	A01711	U Siena	University of Siena, Italy
A01711	A02435	DSFTA	University of Siena, Department of Physics and Earth Sciences
	A01713	U Turin	University of Turin, Italy
A01713	A01715	Dep Phy	University of Turin, Department of Physics
A01713	A01726	CNR Turin	Italian National Research Council, Turin
A01713	A03982	Ast Obs Turin	Astronomical Observatory of Turin
	A01717	U Trieste	University of Trieste, Italy
A01717	A01719	Dep Phy Ast	University of Trieste, Department of Physics and Astronomy
A01717	A02438	ICTP Abdus Salam	Abdus Salam International Center for Theoretical Physics
A01717	A03978	Ast Obs Trieste	Astronomical Observatory of Trieste
	A01721	U Udine	University of Udine, Italy
	A01722	Campus Bio-Medico U	Campus Bio-Medico University, Italy
	A01723	Tor Vergata U	Tor Vergata University, Rome, Italy
A01723	A01757	CNR Tor Vergata	Italian National Research Council, Tor Vergata
A01723	A11377	Dep Phy II	Tor Vergata University, Department of Physics
A01723	A11378	Dep Ast	Tor Vergata University, Department of Astronomy
	A01725	CNR	CNR Italian National Research Council
A01725	A01726	CNR Turin	Italian National Research Council, Turin
A01725	A01727	CNR Milan	Italian National Research Council, Milan
A01725	A01728	CNR Padua	Italian National Research Council, Padua
A01725	A01729	IFSI Rome	Institute of the Physics of Interplanetary Space, Rome
A01725	A01730	CNR Bari	Italian National Research Council, Bari
A01725	A01732	ISTI Pisa	Institute of Science and Information Technology, Pisa
A01725	A01733	Naples	Italian National Research Council, Naples
A01725	A01734	IAMC Naples	CNR Institute for Coastal Marine Environment, Naples
A01725	A01736	CNR Florence	Italian National Research Council, Florence
A01725	A01737	ISMAR Venice	CNR Institute for Marine Science, Venice
A01725	A01738	ISAC Bologna	CNR Institute of Atmospheric Sciences and Climate, Bologna
A01725	A01739	Perugia	Italian National Research Council, Perugia
A01725	A01740	Genoa	Italian National Research Council, Genoa
A01725	A01741	ISMAR Ancona	CNR Institute for Marine Science, Ancona
A01725	A01743	Catania	Italian National Research Council, Catania
A01725	A01745	Parma	CNR Institute of Materials for Electronics and Magnetism, Parma
A01725	A01746	INFM	Italian National Institute for Material Physics, Rome
A01725	A01747	Opt Pisa	CNR, Institute of Optics, Pisa
A01725	A01748	Venice	Italian National Research Council, Venice
A01725	A01749	IPCF Rende	Institute for Chemical Physics Processes, Rende
A01725	A01750	CSCC	Institute of Crystallography, Pavia
A01725	A01751	Bologna	Italian National Research Council, Bologna
A01725	A01753	Inst Cyb	Edoardo Caianello Institute of Cybernetics, Naples
A01725	A01754	Inst App Math Rome	Institute for Applied Mathematics, Rome
A01725	A01755	Inst Sys Cmplx	Institute of Complex Systems, Rome
A01725	A01756	Inst Phot Nano	Institute of Photonics and Nanotechnologies, Rome
A01725	A01757	CNR Tor Vergata	Italian National Research Council, Tor Vergata
A01725	A02480	IGG Pavia	Institute of Geosciences and Georesources, Pavia
A01725	A02485	IMAA Potenza	Institute for Advanced Methods of Environmental Studies, Potenza
A01725	A03970	Ast Obs Bologna	Astronomical Observatory of Bologna
A01725	A03973	IASF Rome	Institute of Space Astrophysics and Cosmic Physics
A01725	A03974	IRA Bologna	Institute of Radioastronomy, Bologna
A01725	A03981	Ast Obs Arcetri	Astronomical Observatory of Arcetri
A01725	A11379	CIFS	Interuniversity Consortium for Space Physics
A01725	A11380	TeSRE Bologna	Institute for Technologies and Study of Extraterrestrial Radiation, Bologna
A01725	A11383	IASF Milan	Institute for Cosmic Physics, Milan
A01725	A11384	CSFNSM Catania	Sicilian Center for Nuclear Physics, Catania
A01725	A11406	IAS Frascati	IAS, Laboratory for Space Plasmas, Frascati
A01725	A11410	IMIP	Institute of Inorganic Methodologies and Plasmas, Rome
A01725	A11411	IGAG	Institute of Environmental Geology and Geoengineering, Rome
A01725	A13053	ISMAR Bologna	CNR Institute for Marine Science, Bologna
A01725	A13062	Trieste	CNR Institute for Material Physics, Trieste
A01725	A13075	IASF Palermo	Institute for Cosmic Physics, Palermo
A01725	A06612	INO Florence	CNR, Institute of Applied Optics, Florence
	A01759	U Parma	University of Parma, Italy
A01759	A01760	Dep Phy Ear Sci	University of Parma, Department of Physics and Earth Sciences
	A01761	U Berlin	Humboldt University of Berlin, Germany
A01761	A01762	Inst Phy	University of Berlin, Institute for Physics
A01761	A03054	Mus Nat Hist Berlin	Museum of Natural History, Berlin
	A01764	U Bonn	Rheinische Friedrich Wilhelms University of Bonn, Germany
A01764	A01763	Inst Phy	University of Bonn, Institute of Physics
A01764	A01765	Dep Phy Ast	University of Bonn, Department of Physics and Astronomy
A01764	A01766	Bethe Ctr Phy	University of Bonn, Bethe Center for Physics
A01764	A01767	Inst Phy Theo Chem	University of Bonn, Institute of Physical and Theoretical Chemistry
A01764	A01768	Inst Rad Nuc Phy	University of Bonn, Helmholtz Institute for Radiation and Nuclear Physics
A01764	A01769	Inst App Phy	University of Bonn, Institute for Applied Physics
A01764	A01770	Argelander Inst Ast	University of Bonn, Argelander Institute for Astronomy
	A01771	U Gottingen	Georg August University of Gottingen, Germany
A01771	A01772	Inst Astrop	University of Gottingen, Institute for Astrophysics
A01771	A01773	Ctr Geop	University of Gottingen, Center for Geophysics
A01771	A01774	Inst Phy	University of Gottingen, Institute for Physics
	A01775	U Magdeburg	Otto von Guericke University of Magdeburg, Germany
	A01776	U Marburg	Philipps University of Marburg, Germany
A01776	A01777	Dep Phy	Philipps University of Marburg, Department of Physics
	A01778	U Jena	Friedrich Schiller University of Jena, Germany
A01778	A01779	Dep Phy Ast	University of Jena, Department of Physics and Astronomy
A01778	A01780	Ast Inst	University of Jena, Astrophysical Institute
A01778	A01781	Inst Geos	University of Jena, Institute for Geosciences
	A01782	U Saarland	University of Saarland, Germany
	A01783	Natl Phy Lab	National Physical Laboratory, UK
	A01784	U AL Birmingham	University of Alabama, Birmingham
	A01785	HydroQuebec	Hydro-Quebec, Montreal, Canada
	A01786	Atom En Can	Atomic Energy of Canada
A01786	A01787	Can Nuc Lab	Canadian Nuclear Laboratories, Chalk River
	A01788	NIOZ	Royal Netherlands Institute for Sea Research
	A01790	Anglo Amer Res Lab	Anglo American Research Laboratories
	A01791	WHOI	Woods Hole Oceanographic Institute, Massachusetts
A01791	A11803	MIT/WHOI Jt Prog	MIT/WHOI Joint Program in Oceanography
	A01792	Emmanuel Coll	Emmanuel College, Massachusetts
	A01793	Bridgewater St U	Bridgewater State University, Massachusetts
	A01794	Olin Coll Eng	Olin College of Engineering, Massachusetts
	A01795	New Coll FL	New College of Florida
	A01796	Metro St U Denver	Metropolitan State University of Denver, Colorado
	A01797	Palomar Coll	Palomar College, California
	A01798	East West Ctr	East West Center, Hawaii
	A01799	NIST	National Institute of Standards and Technology, Maryland
A01799	A00036	JQI	Joint Quantum Institute, Maryland
A01799	A11219	JILA	Joint Institute for Laboratory Astrophysics, Boulder, Colorado
	A01800	US NRegC	U.S. Nuclear Regulatory Commission
	A01801	NSF	National Science Foundation
A01801	A01802	AUI	Associated Universities, Inc.
A01801	A01803	LIGO Hanford Obs	LIGO Hanford Observatory
A01801	A01804	Arecibo	Arecibo Observatory
A01801	A11207	LIGO Livingston	LIGO Livingston Observatory, Louisiana
	A01805	Israel Min Def	Israel Ministry of Defense
	A01806	U Oldenburg	Carl von Ossietzky University of Oldenburg, Germany
	A01807	UAE U	United Arab Emirates University
	A01808	Diego Portales U	Diego Portales University, Chile
	A01809	Chalmers U Tech	Chalmers University of Technology, Sweden
A01809	A01810	Dep Ear Sp Sci	Chalmers University, Department of Earth and Space Sciences
A01809	A01811	Onsala Sp Obs	Onsala Space Observatory
A01809	A13011	Dep Ast Astrop	Chalmers University, Department of Astronomy and Astrophysics
	A01812	Norweg Pol Inst	Norwegian Polar Institute
	A01813	U Sth-Estrn Norway	University of South-Eastern Norway
A01813	A06323	Buskerud U	Buskerud University College, Norway
A01813	A06324	Vestfold U	Vestfold University College, Norway
A01813	A06325	Telemark U	Telemark University College, Norway
	A01814	IFA	Institute for Energy Technology, Norway
	A01815	CSC IT Ctr Sci	CSC, IT Center for Science, Finland
	A01816	Amer U Cairo	American University in Cairo, Egypt
	A01817	UK Atom En Auth	UK Atomic Energy Authority
A01817	A06138	ITER UK	ITER, International Thermonuclear Experimental Reactor, UK
	A01818	Met Off UK	Meteorological Office, UK
	A01819	Irish Met Svc	Irish Meteorological Service
	A01820	Geo Surv IE	Geological Survey of Ireland
	A01821	U AK Fairbanks	University of Alaska, Fairbanks
A01821	A01822	Geop Inst	University of Alaska, Fairbanks, Geophysical Institute
A01821	A11178	AVO	AK Volcano Observatory, Fairbanks
A01821	A11179	Arctic Res Ctr	University of Alaska, Fairbanks, Arctic Research Center
	A01823	Freshwater Biol Ass	Freshwater Biological Association, UK
	A01824	Ryl Ast Soc	Royal Astronomical Society, UK
	A01825	Ryl Inst GB	Royal Institution of Great Britain
	A01826	Stonyhurst Coll	Stonyhurst College, UK
	A01827	Canon	Canon Inc.
	A01828	U CO Denver	University of Colorado, Denver
A01828	A01829	Dep Phy	University of Colorado, Denver, Department of Physics
	A01830	U Witten	University of Witten, Germany
	A01831	UMB	University of Maryland, Baltimore
	A01832	U TX Arlington	University of Texas, Arlington
A01832	A11133	Dep Phy	University of Texas, Arlington, Department of Physics
	A01833	U TX Austin	University of Texas, Austin
A01833	A01834	McDonald Obs	University of Texas, Austin, McDonald Observatory
A01833	A01835	Dep Geo Sci	University of Texas, Austin, Department of Geological Sciences
A01833	A01836	Ctr Sp Res	University of Texas, Austin, Center for Space Research
A01833	A01837	Dep Ast	University of Texas, Austin, Department of Astronomy
A01833	A11130	Dep Phy	University of Texas, Austin, Department of Physics
	A01838	U TX Brownsville	University of Texas, Brownsville
A01838	A11134	Dep Phy Ast	University of Texas, Brownsville, Department of Physics and Astronomy
	A01839	U TX Dallas	University of Texas, Dallas
A01839	A11131	Dep Phy	University of Texas, Dallas, Department of Physics
A01839	A11132	Ctr Sp Sci	University of Texas, Dallas, Center for Space Sciences
	A01840	U TX El Paso	University of Texas, El Paso
A01840	A11137	Dep Phy	University of Texas, El Paso, Department of Physics
	A01841	U TX Galveston	University of Texas, Galveston
	A01842	U TX Health	University of Texas, Health Science Center
A01842	A05865	MD Anderson	University of Texas, MD Anderson Cancer Center
	A01843	U TX San Antonio	University of Texas, San Antonio
A01843	A11136	Dep Phy Ast	University of Texas, San Antonio, Department of Physics and Astronomy
	A01844	Zhejiang U	Zhejiang University, China
	A01845	CN Geo Surv	China Geological Survey
A01845	A01846	Chengdu Inst Geo	Chengdu Institute of Geology and Mineral Resources
A01845	A01847	Qingdao Inst Mar Geo	Qingdao Institute of Marine Geology
	A01848	Cap Norm U	Capital Normal University, Beijing
	A01849	CAS	Chinese Academy of Sciences
A01849	A01850	Shenyang	Chinese Academy of Sciences, Shenyang
A01849	A01851	Changchun	Chinese Academy of Sciences, Changchun
A01849	A01852	Shanghai	Chinese Academy of Sciences, Shanghai
A01849	A01853	CASHIPS	CAS, Hefei Institute of Physical Science
A01849	A01854	Wuhan	Chinese Academy of Sciences, Wuhan
A01849	A01855	Guangzhou	Chinese Academy of Sciences, Guangzhou
A01849	A01856	Chengdu	Chinese Academy of Sciences, Chengdu
A01849	A01857	Xinjiang	Chinese Academy of Sciences, Xinjiang
A01849	A01858	Lanzhou	Chinese Academy of Sciences, Lanzhou
A01849	A01859	IMP Lanzhou	CAS, Institute of Modern Physics, Lanzhou
A01849	A01860	IGG	CAS, Institute of Geodesy and Geophysics
A01849	A01861	IOE	CAS, Institute of Optics and Electronics
A01849	A01862	SCSIO	CAS, South China Sea Institute of Oceanology
A01849	A01863	NSTC	CAS, National Time Service Center
A01849	A01864	Qinghai	CAS, Qinghai Institute of Salt Lakes
A01849	A01865	Fuzhou	Chinese Academy of Sciences, Fuzhou
A01849	A01866	Nanjing	Chinese Academy of Sciences, Nanjing
A01849	A01867	NIAOT	CAS, Nanjing Institute of Astronomical Optics and Technology
A01849	A01868	IGCAS	CAS, Institute of Geochemistry
A01849	A01869	Kunming	Chinese Academy of Sciences, Kunming
A01849	A01870	Xian	Chinese Academy of Sciences, Xian
A01849	A11572	Ctr Theo Nuc Phy	CAS, Center of Theoretical Nuclear Physics, China
A01849	A05686	AIOFM	CAS, Anhui Institute of Optics and Fine Mechanics
A01849	A05687	CIGIT	CAS, Chongqing Institute Green and Intelligent Technology
A01849	A06557	AQL	Alibaba Quantum Laboratory, China
	A01871	Lanzhou Jiaotong U	Lanzhou Jiaotong University, China
	A01872	Guangxi Norm U	Guangxi Normal University, China
	A01873	Wuhan U	Wuhan University, China
	A01874	CUMTX	China University of Mining and Technology, Xuzhou
A01874	A06622	CUMTB	China University of Mining and Technology, Beijing
	A01875	E China Inst Tech	East China Institute of Technology
	A01876	Shenyang U Tech	Shenyang University of Technology, China
	A01877	Dalian U Tech	Dalian University of Technology, China
	A01878	Shaanxi Norm U	Shaanxi Normal University, China
	A01879	Shenyang Norm U	Shenyang Normal University, China
	A01880	S Cen U Natlties	South Central University for Nationalities, China
	A01881	SOAC	State Oceanic Administration, China
A01881	A01882	Pol Res Inst	Polar Research Institute of China
A01881	A01883	NMEFC	National Marine Environmental Forecasting Center, China
	A01884	Hebei GEO U	Hebei GEO University, China
	A01885	Henan U	Henan University, China
	A01886	Changzhou U	Changzhou University, China
	A01887	Jinan U	Jinan University, China
	A01888	Hunan U Arts Sci	Hunan University of Arts and Science, China
	A01889	Changsha U Sci Tech	Changsha University of Science and Technology, China
	A01890	CQUPT	Chongqing University of Posts and Telecommunications, China
	A01891	Dalian Mar U	Dalian Maritime University, China
	A01892	Fuzhou U	Fuzhou University, China
	A01893	Fujian Norm U	Fujian Normal University, China
	A01894	Lanzhou U	Lanzhou University, China
	A01895	Harbin Eng U	Harbin Engineering University, China
	A01896	Harbin U Sci Tech	Harbin University of Science and Technology, China
	A01897	Northeastern U China	Northeastern University, China
	A01898	NW Norm U	Northwest Normal University, China
	A01900	Liaoning U	Liaoning University, China
	A01901	Shanxi U	Shanxi University, China
	A01902	Tsinghua U	Tsinghua University, China
A01902	A06246	JCGCS	Joint Center for Global Change Studies, Beijing
A01902	A11571	Ctr Astrop	Tsinghua University, Center for Astrophysics
	A01903	Huazhong U Sci Tech	Huazhong University of Science and Technology, China
	A01904	Cen China Norm U	Central China Normal University, China
	A01905	Hohai U	Hohai University, China
	A01906	PKU	Peking University, China
A01906	A01907	Sch Phy	PKU, School of Physics
A01906	A01908	Sch Ear Sp Sci	PKU, School of Earth and Space Sciences
A01906	A11562	BAC	CAS, Beijing Astrophysical Center
A01906	A11565	KIAA	Kavli Institute for Astronomy and Astrophysics
	A01909	Xiamen U	Xiamen University, China
	A01910	Chin Ac Soc Sci	Chinese Academy of Social Sciences, Beijing
	A01911	Renmin U	Renmin University, Beijing
	A01912	BUPT	Beijing University of Posts and Telecommunications
	A01913	Shanghai Jiaotong U	Shanghai Jiaotong University, China
	A01914	Tongji U	Tongji University, China
	A01915	Fudan U	Fudan University, China
	A01916	XATU	Xi'an Technological University, China
	A01917	Xi'an Jiaotong U	Xi'an Jiaotong University, China
	A01918	Anhui U	Anhui University, China
	A01919	Beijing U Tech	Beijing University of Technology
	A01920	U Sci Tech Beijing	University of Science and Technology, Beijing
	A01921	Jilin U	Jilin University, China
	A01922	Hefei U Tech	Hefei University of Technology, China
	A01923	Anhui Norm U	Anhui Normal University, China
	A01924	Hunan U Sci Tech	Hunan University of Science and Technology, China
	A01925	Tianjin Norm U	Tianjin Normal University, China
	A01926	S China Agr U	South China Agricultural University
	A01927	Sichuan U	Sichuan University, China
	A01928	Nanjing Norm U	Nanjing Normal University, China
	A01929	Nankai U	Nankai University, China
	A01930	Mnstry Educ China	Ministry of Education, China
	A01931	Shanghai Norm U	Shanghai Normal University, China
	A01932	Harbin Norm U	Harbin Normal University, China
	A01933	Henan Poly U	Henan Polytechnic University, China
	A01934	Hubei U	Hubei University, China
	A01935	China U Geos Wuhan	China University of Geosciences, Wuhan
	A01936	Wuhan U Tech	Wuhan University of Technology, China
	A01937	Hunan Norm U	Hunan Normal University, China
	A01938	Hunan U	Hunan University, China
	A01939	Cen S U	Central South University, China
	A01940	Cen S U For Tech	Central South University of Forestry and Technology, China
	A01941	Hunan Agr U	Hunan Agricultural University, China
	A01942	Inner Mongolia U	Inner Mongolia University
	A01943	Nanjing UP&T	Nanjing University of Posts and Telecommunications, China
	A01944	Southeast U	Southeast University, Nanjing, China
	A01945	Nanjing U	Nanjing University, China
A01945	A11568	Dep Ast	Nanjing University, Department of Astronomy
A01945	A11569	Dep Phy	Nanjing University, Department of Physics
A01945	A11570	Dep Ear Sci	Nanjing University, Department of Earth Sciences
	A01946	Soochow U	Soochow University, China
	A01947	Shandong U	Shandong University, China
A01947	A01948	Weihai	Shandong University at Weihai, China
	A01949	Ocean U China	Ocean University of China
	A01950	Qingdao U	Qingdao University, China
	A01951	Shanghai U Elec Pwr	Shanghai University of Electric Power, China
	A01952	UESTC	University of Electronic Science and Technology, China
	A01953	CAEP	Chinese Academy of Engineering Physics
A01953	A01954	IAPCM Beijing	Institute of Applied Physics and Computational Mathematics, Beijing
	A01955	Tianjin U	Tianjin University, China
	A01956	Hebei U Tech	Hebei University of Technology, China
	A01957	Zhejiang U Tech	Zhejiang University of Technology, China
	A01958	Hangzhou Dianzi U	Hangzhou Dianzi University, China
	A01959	BUAA	Beijing University of Aeronautics and Astronautics, China
	A01960	Yunnan U	Yunnan University, China
	A01961	Zhengzhou U	Zhengzhou University, China
	A01962	Jiangxi Norm U	Jiangxi Normal University, China
	A01963	China ETGC	China Electronics Technology Group Corporation
A01963	A01964	CRIRP	China Research Institute of Radio Wave Propagation
	A01965	USTC	University of Science and Technology of China, Hefei
A01965	A11563	Dep Ast	University of Science and Technology of China, Department of Astronomy
A01965	A11564	Dep Ear Sp Sci	University of Science and Technology of China, Department of Earth and Space Sciences
A01965	A13051	Dep Phy	University of Science and Technology of China, Department of Physics
	A01966	E China Norm U	East China Normal University, Shanghai
	A01967	Northwest U	Northwest University, China
	A01968	China ASTC	China Aerospace Science and Technology Corporation
A01968	A01969	China Ac Sp Tech	China Academy of Space Technology
	A01970	Guangxi U	Guangxi University, China
	A01971	Xiangtan U	Xiangtan University, China
	A01972	Jiangsu Norm U	Jiangsu Normal University, China
	A01973	Jiangsu U	Jiangsu University, China
	A01974	Yantai U	Yantai University, China
	A01975	Jimei U	Jimei University, China
	A01976	Guizhou Norm U	Guizhou Normal University, China
	A01977	Bohai U	Bohai University, China
	A01978	Fujita Health U	Fujita Health University, Japan
